exploration_rate,threshold,precision,recall,f1,fp_rate_stable,n_change_users,n_stable_users
0.0,0.05,0.0,0.0,0.0,0.0,150,50
0.0,0.1,0.0,0.0,0.0,0.0,150,50
0.0,0.15,0.0,0.0,0.0,0.0,150,50
0.0,0.2,0.0,0.0,0.0,0.0,150,50
0.0,0.25,0.0,0.0,0.0,0.0,150,50
0.0,0.3,0.0,0.0,0.0,0.0,150,50
0.0,0.4,0.0,0.0,0.0,0.0,150,50
0.0,0.5,0.0,0.0,0.0,0.0,150,50
0.1,0.05,0.0,0.0,0.0,0.0,150,50
0.1,0.1,0.0,0.0,0.0,0.0,150,50
0.1,0.15,0.0,0.0,0.0,0.0,150,50
0.1,0.2,0.0,0.0,0.0,0.0,150,50
0.1,0.25,0.0,0.0,0.0,0.0,150,50
0.1,0.3,0.0,0.0,0.0,0.0,150,50
0.1,0.4,0.0,0.0,0.0,0.0,150,50
0.1,0.5,0.0,0.0,0.0,0.0,150,50
0.2,0.05,0.0,0.0,0.0,0.0,150,50
0.2,0.1,0.0,0.0,0.0,0.0,150,50
0.2,0.15,0.0,0.0,0.0,0.0,150,50
0.2,0.2,0.0,0.0,0.0,0.0,150,50
0.2,0.25,0.0,0.0,0.0,0.0,150,50
0.2,0.3,0.0,0.0,0.0,0.0,150,50
0.2,0.4,0.0,0.0,0.0,0.0,150,50
0.2,0.5,0.0,0.0,0.0,0.0,150,50
0.3,0.05,0.0,0.0,0.0,0.0,150,50
0.3,0.1,0.0,0.0,0.0,0.0,150,50
0.3,0.15,0.0,0.0,0.0,0.0,150,50
0.3,0.2,0.0,0.0,0.0,0.0,150,50
0.3,0.25,0.0,0.0,0.0,0.0,150,50
0.3,0.3,0.0,0.0,0.0,0.0,150,50
0.3,0.4,0.0,0.0,0.0,0.0,150,50
0.3,0.5,0.0,0.0,0.0,0.0,150,50
